City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mar del Plata,-38.0,-57.56,46.4,45,20,13.87,AR,1598736601
Dikson,73.51,80.55,42.01,98,100,16.8,RU,1598736721
Clyde River,70.47,-68.59,50.0,76,1,13.87,CA,1598736721
San Patricio,19.22,-104.7,87.8,74,75,23.04,MX,1598736721
Boca do Acre,-8.75,-67.4,88.63,44,99,3.69,BR,1598736722
Caçu,-18.56,-51.13,81.01,22,0,7.16,BR,1598736722
Emba,48.83,58.14,76.42,24,100,11.77,KZ,1598736722
Gayéri,12.65,0.49,74.98,87,99,7.29,BF,1598736722
Saskylakh,71.92,114.08,51.03,61,100,4.0,RU,1598736723
Pevek,69.7,170.31,38.01,82,100,4.03,RU,1598736530
Dunedin,-45.87,170.5,54.0,65,14,13.0,NZ,1598736472
Kapaa,22.08,-159.32,82.0,74,40,10.29,US,1598736723
Faanui,-16.48,-151.75,77.99,77,66,23.96,PF,1598736724
Albany,42.6,-73.97,80.01,82,75,9.91,US,1598736724
Mount Gambier,-37.83,140.77,57.2,58,75,17.22,AU,1598736724
Alofi,-19.06,-169.92,80.6,65,46,16.11,NU,1598736724
Māgadi,12.97,77.23,71.6,100,40,12.75,IN,1598736725
Aasiaat,68.71,-52.87,41.76,78,100,10.22,GL,1598736725
Gambo,4.65,22.26,70.86,96,100,1.81,CF,1598736726
Ribeira Grande,38.52,-28.7,77.0,88,75,9.17,PT,1598736726
Hohhot,40.81,111.65,68.0,82,40,8.95,CN,1598736726
Matamoros,25.53,-103.25,98.6,23,75,7.18,MX,1598736726
Helong,42.54,129.0,62.15,88,37,1.95,CN,1598736549
Weligama,5.97,80.42,78.53,85,80,10.07,LK,1598736728
Sobolevo,54.43,31.9,61.14,82,96,11.95,RU,1598736728
Reconquista,-29.15,-59.65,70.29,70,92,16.89,AR,1598736612
New Norfolk,-42.78,147.06,55.0,59,79,1.01,AU,1598736729
São Filipe,14.9,-24.5,80.11,84,57,8.08,CV,1598736729
Cap Malheureux,-19.98,57.61,71.01,72,12,5.99,MU,1598736729
Remanso,-9.62,-42.08,80.67,51,10,13.22,BR,1598736730
Severo-Kuril'sk,50.68,156.12,49.78,90,93,10.83,RU,1598736730
Diu,20.71,70.98,78.35,92,100,11.01,IN,1598736730
Saint Paul Harbor,57.79,-152.41,53.6,93,90,20.8,US,1598736703
San Pedro de Ycuamandiyú,-24.09,-57.08,83.1,34,0,3.96,PY,1598736731
Port Alfred,-33.59,26.89,51.48,67,35,20.07,ZA,1598736731
Nha Trang,12.25,109.18,80.6,83,40,3.36,VN,1598736616
Nurma,59.55,31.02,55.4,93,75,6.71,RU,1598736731
Atuona,-9.8,-139.03,79.03,78,20,18.66,PF,1598736732
Bayevo,53.28,80.77,58.12,64,18,6.91,RU,1598736732
Tigil',57.8,158.67,50.92,74,45,2.06,RU,1598736732
Capreol,46.71,-80.92,63.0,93,90,3.36,CA,1598736657
Batagay,67.63,134.63,51.13,47,0,4.12,RU,1598736733
Kieta,-6.22,155.63,82.8,74,3,6.55,PG,1598736733
Mayo,38.89,-76.51,84.99,83,75,3.36,US,1598736733
Shimoda,34.67,138.95,80.01,86,0,0.67,JP,1598736734
Khatanga,71.97,102.5,48.25,76,91,9.46,RU,1598736734
Namatanai,-3.67,152.43,81.63,75,34,8.88,PG,1598736734
Itarema,-2.92,-39.92,78.87,75,0,20.45,BR,1598736735
Puerto Ayora,-0.74,-90.35,75.2,64,40,21.92,EC,1598736735
Uralets,57.66,59.65,58.26,91,100,4.94,RU,1598736735
Hamilton,39.18,-84.53,86.0,48,20,12.75,US,1598736646
Warrington,53.39,-2.58,53.6,76,41,5.82,GB,1598736712
Ushuaia,-54.8,-68.3,33.8,93,90,23.04,AR,1598736736
Marzuq,14.4,46.47,83.23,44,29,3.49,YE,1598736737
Gamba,-2.65,10.0,73.63,87,100,8.03,GA,1598736737
Thompson,55.74,-97.86,59.0,62,75,5.82,CA,1598736737
Saldanha,-33.01,17.94,39.2,80,19,3.36,ZA,1598736691
San Policarpo,12.18,125.51,79.93,80,100,8.41,PH,1598736738
Lively,46.43,-81.15,63.0,93,90,3.36,CA,1598736738
Ponta do Sol,32.67,-17.1,71.6,68,40,13.87,PT,1598736738
Morro Bay,35.37,-120.85,73.4,82,90,9.17,US,1598736738
Qaanaaq,77.48,-69.36,35.51,79,0,3.49,GL,1598736739
East London,-33.02,27.91,54.77,56,72,18.05,ZA,1598736721
Yatou,37.15,122.38,72.19,93,25,5.5,CN,1598736739
Zliten,32.47,14.57,78.62,72,0,12.97,LY,1598736740
Provideniya,64.38,-173.3,51.39,68,60,11.56,RU,1598736740
Pacific Grove,36.62,-121.92,73.99,60,20,12.75,US,1598736480
Tawang Town,27.58,91.87,54.72,74,81,2.01,IN,1598736741
Dwārka,22.24,68.97,81.59,85,100,15.28,IN,1598736742
Morehead,37.27,-87.18,87.8,74,1,4.7,US,1598736744
Ilulissat,69.22,-51.1,51.8,53,75,9.17,GL,1598736744
Colares,38.8,-9.45,66.0,77,20,25.28,PT,1598736744
Wanning,18.8,110.4,78.13,85,10,2.89,CN,1598736744
Pontianak,-0.03,109.33,74.12,93,44,2.93,ID,1598736572
Upernavik,72.79,-56.15,41.0,70,0,5.61,GL,1598736745
Konstantinovskoye,45.3,42.64,68.0,42,0,1.97,RU,1598736745
Cabo San Lucas,22.89,-109.91,84.99,94,90,5.82,MX,1598736627
Rosarito,32.33,-117.03,79.0,64,5,9.17,MX,1598736745
Nikolskoye,59.7,30.79,57.0,93,75,6.71,RU,1598736746
Batemans Bay,-35.72,150.18,48.99,87,0,1.01,AU,1598736746
Pervomayskoye,43.92,46.71,71.22,50,0,6.4,RU,1598736746
Chicama,-7.84,-79.15,67.3,66,1,10.0,PE,1598736746
Mahébourg,-20.41,57.7,71.6,68,40,13.87,MU,1598736747
Bredasdorp,-34.53,20.04,44.6,87,89,3.36,ZA,1598736747
Batticaloa,7.71,81.69,80.08,75,86,5.06,LK,1598736747
Chazuta,-6.57,-76.14,93.2,46,20,13.87,PE,1598736748
Tura,25.52,90.22,73.78,95,75,3.94,IN,1598736748
Khovd,48.01,91.64,50.74,67,98,6.15,MN,1598736748
Sinnamary,5.38,-52.95,80.37,85,100,12.06,GF,1598736749
Choya,52.01,86.55,48.45,90,0,3.06,RU,1598736749
Bambous Virieux,-20.34,57.76,71.6,68,40,13.87,MU,1598736749
Honningsvåg,70.98,25.97,49.51,78,23,3.47,NO,1598736750
Inuvik,68.35,-133.72,57.2,35,20,2.24,CA,1598736530
Isangel,-19.55,169.27,72.57,81,92,20.96,VU,1598736750
Cidreira,-30.18,-50.21,66.83,80,62,10.11,BR,1598736751
Lagoa,39.05,-27.98,74.19,94,100,7.07,PT,1598736751
Nizhniy Odes,63.64,54.86,49.98,96,99,6.44,RU,1598736751
Gold Coast,-28.0,153.43,64.99,87,75,4.7,AU,1598736752
Goderich,43.75,-81.72,71.01,74,60,14.09,CA,1598736752
Elliot,-31.33,27.85,32.23,93,13,1.54,ZA,1598736752
Sada,43.36,-8.26,62.6,67,40,10.29,ES,1598736753
Hay River,60.82,-115.8,51.8,100,90,8.05,CA,1598736666
Hamada,34.88,132.08,80.01,34,0,2.24,JP,1598736753
Yulara,-25.24,130.99,51.8,23,0,10.29,AU,1598736754
Domoni,-12.26,44.53,73.29,74,0,3.42,KM,1598736754
Lofthus,59.95,10.8,55.0,67,0,3.44,NO,1598736754
Kloulklubed,7.04,134.26,78.8,88,75,10.29,PW,1598736754
Vadsø,70.07,29.75,50.0,71,75,20.8,NO,1598736755
Broome,42.25,-75.83,78.8,65,75,9.17,US,1598736755
Nome,64.5,-165.41,59.0,67,90,11.41,US,1598736755
Oranjestad,12.52,-70.03,89.6,66,40,17.22,AW,1598736756
Tovste,48.85,25.73,73.0,50,0,1.99,UA,1598736756
Souillac,-20.52,57.52,71.6,68,40,13.87,MU,1598736756
Kruisfontein,-34.0,24.73,48.0,70,55,5.99,ZA,1598736756
Srandakan,-7.94,110.25,72.57,83,90,7.94,ID,1598736494
Bengkulu,-3.8,102.27,75.63,84,82,4.83,ID,1598736757
Kaitangata,-46.28,169.85,55.99,63,24,17.0,NZ,1598736757
Otradnoye,59.78,30.82,57.0,95,99,4.14,RU,1598736758
Tsimmerbude,54.67,20.13,59.0,93,88,2.24,RU,1598736758
Codrington,-38.27,141.97,55.83,54,91,18.14,AU,1598736758
Kaeo,-35.1,173.78,54.0,3,0,1.99,NZ,1598736759
Borşa,47.66,24.66,53.01,80,0,2.98,RO,1598736759
Esperance,-33.87,121.9,48.2,93,90,3.36,AU,1598736760
Troitsko-Pechorsk,62.71,56.2,52.14,97,100,3.89,RU,1598736761
Tasiilaq,65.61,-37.64,42.8,75,100,13.87,GL,1598736761
Pontes e Lacerda,-15.23,-59.34,94.8,21,13,1.39,BR,1598736761
Vestmanna,62.16,-7.17,46.4,87,99,4.7,FO,1598736762
Ouésso,1.61,16.05,71.49,94,99,2.24,CG,1598736762
Kavieng,-2.57,150.8,83.39,74,45,12.71,PG,1598736762
Burē,10.7,37.07,55.6,92,87,1.72,ET,1598736762
Dolores,-36.31,-57.68,46.18,69,80,9.31,AR,1598736763
Saint-François,46.42,3.91,59.0,67,4,5.82,FR,1598736763
Ust'-Uda,54.17,103.03,54.41,90,100,4.05,RU,1598736763
Wukari,7.85,9.78,73.6,94,100,3.96,NG,1598736763
Hilo,19.73,-155.09,84.2,58,20,10.29,US,1598736764
Phuthaditjhaba,-28.52,28.82,42.17,55,0,1.61,ZA,1598736764
Kaset Sombun,16.28,101.95,76.24,83,87,1.52,TH,1598736764
Samarai,-10.62,150.67,78.87,86,15,17.38,PG,1598736765
Finschhafen,-6.6,147.87,79.68,76,1,10.74,PG,1598736765
Poum,-20.23,164.02,69.1,71,94,17.25,NC,1598736765
Eyrarbakki,63.86,-21.15,53.6,81,90,8.05,IS,1598736766
Vila Franca do Campo,37.72,-25.43,75.2,83,20,6.93,PT,1598736766
Meulaboh,4.14,96.13,76.33,90,99,3.85,ID,1598736766
Sharjah city,25.36,55.4,96.8,67,30,2.24,AE,1598736767
Popondetta,-8.75,148.25,79.14,70,46,2.42,PG,1598736767
Dodoma,-6.17,35.74,68.0,68,5,11.41,TZ,1598736767
Pisco,-13.7,-76.22,62.6,82,75,19.46,PE,1598736767
Broken Hill,-31.95,141.43,60.8,31,62,11.41,AU,1598736681
Yuli,9.7,10.27,73.56,86,98,1.92,NG,1598736768
Quelimane,-17.88,36.89,77.0,73,0,5.82,MZ,1598736768
Deputatsky,69.3,139.9,36.43,93,98,3.65,RU,1598736768
Russell,32.35,-85.2,87.8,74,40,3.36,US,1598736769
Moerai,-22.43,-151.33,69.44,74,86,17.94,PF,1598736769
Lorengau,-2.02,147.27,82.85,76,83,12.17,PG,1598736769
Zhangye,38.93,100.45,57.2,73,100,6.35,CN,1598736641
Sur,22.57,59.53,83.1,67,12,10.38,OM,1598736770
Hithadhoo,-0.6,73.08,82.47,74,100,10.07,MV,1598736698
Norman Wells,65.28,-126.83,55.4,50,20,10.29,CA,1598736770
Ibrā’,22.69,58.53,81.97,61,26,3.33,OM,1598736770
Plainfield,40.62,-74.42,84.99,69,40,6.93,US,1598736722
Tuktoyaktuk,69.45,-133.04,46.4,70,20,11.41,CA,1598736771
Half Moon Bay,37.46,-122.43,73.99,60,20,12.75,US,1598736517
Pitimbu,-7.47,-34.81,77.0,83,40,8.05,BR,1598736771
Umluj,25.02,37.27,84.56,48,0,4.0,SA,1598736772
Assiniboia,49.63,-105.98,88.32,15,0,15.14,CA,1598736772
Sayansk,54.11,102.16,52.68,97,100,5.86,RU,1598736772
Dingle,11.0,122.67,75.81,87,100,2.19,PH,1598736772
Canarana,-11.68,-41.77,70.54,65,91,10.47,BR,1598736773
Aitape,-3.14,142.35,78.06,77,34,4.29,PG,1598736773
Kuching,1.55,110.33,73.4,100,20,1.12,MY,1598736624
Oudtshoorn,-33.59,22.2,44.6,75,30,18.34,ZA,1598736773
Lompoc,34.64,-120.46,71.01,60,1,14.99,US,1598736540
Tiznit Province,29.58,-9.5,68.56,62,1,4.85,MA,1598736774
George Town,5.41,100.34,80.01,88,40,8.05,MY,1598736581
Pilar,-9.6,-35.96,75.2,94,20,6.93,BR,1598736774
Santa Fe,-31.63,-60.7,62.01,57,99,4.0,AR,1598736566
Coahuayana Viejo,18.73,-103.68,78.8,83,75,11.41,MX,1598736775
São Paulo de Olivença,-3.38,-68.87,85.44,65,86,5.39,BR,1598736563
Conceição do Araguaia,-8.26,-49.26,87.1,26,2,4.09,BR,1598736775
Bilma,18.69,12.92,87.46,46,69,14.38,NE,1598736776
Yumen,40.28,97.2,52.65,56,0,4.92,CN,1598736776
Lincoln,40.8,-96.67,82.0,30,1,3.36,US,1598736501
Karaton,-6.34,106.1,81.0,78,20,3.36,ID,1598736776
Balikpapan,-1.27,116.83,75.34,91,88,6.26,ID,1598736777
Bowen,-20.02,148.23,66.2,82,75,9.17,AU,1598736777
Waddān,29.16,16.14,81.54,39,0,16.35,LY,1598736777
Ahipara,-35.17,173.17,60.3,62,0,1.95,NZ,1598736777
Tumbes,-3.57,-80.44,77.0,73,20,10.67,PE,1598736778
Novaya Bryan’,51.72,108.27,60.8,82,75,13.42,RU,1598736778
Grand Gaube,-20.01,57.66,71.01,72,10,5.99,MU,1598736778
Laguna,38.42,-121.42,91.0,35,1,8.05,US,1598736684
Ulaangom,49.98,92.07,52.21,63,92,2.82,MN,1598736779
Qasigiannguit,68.82,-51.19,51.8,53,75,9.17,GL,1598736779
Kavaratti,10.57,72.64,81.45,80,98,14.43,IN,1598736779
Vallenar,-28.57,-70.76,67.96,24,13,4.54,CL,1598736780
Patao,11.22,123.69,83.64,77,100,17.76,PH,1598736780
Katsuura,35.13,140.3,82.4,88,40,9.17,JP,1598736780
Pringsewu,-5.36,104.97,71.44,90,71,1.32,ID,1598736781
Chokurdakh,70.63,147.92,39.83,89,100,4.29,RU,1598736781
Plettenberg Bay,-34.05,23.37,45.88,75,18,10.71,ZA,1598736781
Zhuhai,22.28,113.57,84.99,79,0,1.12,CN,1598736782
Saint George,37.1,-113.58,96.8,16,1,9.91,US,1598736782
Xapuri,-10.65,-68.5,95.85,26,32,3.6,BR,1598736782
Sangar,63.92,127.47,54.37,56,100,15.68,RU,1598736783
Sibolga,1.74,98.78,77.22,81,64,3.15,ID,1598736783
Nur,52.67,22.32,57.76,93,26,4.81,PL,1598736783
Sydney,-33.87,151.21,51.01,76,0,8.05,AU,1598736626
Hua Hin,12.57,99.96,78.91,83,4,5.12,TH,1598736784
Baidyabati,22.79,88.32,86.0,94,75,6.93,IN,1598736784
Petropavlovsk-Kamchatskiy,53.05,158.65,46.4,100,99,10.13,RU,1598736506
Shīeli,44.17,66.75,71.38,34,0,12.59,KZ,1598736784
Caraquet,47.79,-64.94,59.0,82,90,2.24,CA,1598736681
Coquimbo,-29.95,-71.34,60.8,67,81,13.87,CL,1598736523
Muttupet,10.4,79.48,82.81,77,100,11.1,IN,1598736785
Sikonge,-5.63,32.77,73.4,40,0,5.82,TZ,1598736785
Burnie,-41.07,145.92,54.0,80,32,1.01,AU,1598736785
Coyhaique,-45.58,-72.07,42.8,56,75,8.05,CL,1598736786
Fortuna,40.6,-124.16,68.0,82,1,14.99,US,1598736786
Muros,42.78,-9.06,59.0,81,0,1.99,ES,1598736786
Mudanya,40.38,28.88,75.2,72,0,1.45,TR,1598736787
Verkhnyaya Inta,65.98,60.31,47.62,78,19,12.57,RU,1598736787
Prince Rupert,54.32,-130.32,57.2,87,90,4.7,CA,1598736671
Malārd,35.67,50.98,75.2,59,20,4.7,IR,1598736787
Nanortalik,60.14,-45.24,50.38,75,100,7.78,GL,1598736788
Praia,14.92,-23.51,78.8,94,75,3.36,CV,1598736788
Bodaybo,57.85,114.19,55.17,85,100,0.38,RU,1598736702
Santa Vitória,-18.84,-50.12,80.65,27,0,4.9,BR,1598736788
Abéché,13.83,20.83,79.97,72,28,6.76,TD,1598736789
Burns Lake,54.23,-125.75,56.01,51,92,10.83,CA,1598736661
Saravena,6.95,-71.88,85.28,64,28,3.44,CO,1598736789
Barkhan,29.9,69.53,78.76,62,0,0.74,PK,1598736790
Urzhum,57.11,50.0,57.15,94,63,6.08,RU,1598736790
Santa Rosa,14.31,121.11,84.2,83,100,5.82,PH,1598736790
Gusev,54.59,22.2,57.63,93,22,6.2,RU,1598736791
Lebu,-37.62,-73.65,47.17,66,1,16.73,CL,1598736791
Dandong,40.13,124.39,70.32,94,7,3.89,CN,1598736791
Semnan,35.57,53.4,80.6,22,33,9.17,IR,1598736791
São Félix do Xingu,-6.64,-51.99,89.29,29,87,1.1,BR,1598736792
Vilhena,-12.74,-60.15,95.0,36,75,4.7,BR,1598736792
Brae,60.4,-1.35,50.0,76,100,5.82,GB,1598736792
Tenkodogo,11.78,-0.37,75.15,86,100,7.99,BF,1598736792
Qaryat Sulūq,31.67,20.25,76.26,54,0,9.37,LY,1598736793
Kiama,-34.68,150.87,55.0,61,0,4.59,AU,1598736793
Portland,45.52,-122.68,78.01,40,40,9.17,US,1598736517
Beitbridge,-22.22,30.0,79.56,24,82,0.74,ZW,1598736793
Hong Kong,22.29,114.16,84.0,74,0,5.01,HK,1598736766
Havre-St-Pierre,50.23,-63.6,53.6,66,1,16.11,CA,1598736794
Kahului,20.89,-156.47,91.4,38,20,23.04,US,1598736770
Gunnedah,-30.98,150.25,46.4,93,0,4.7,AU,1598736794
Kidal,18.44,1.41,80.29,58,51,9.1,ML,1598736795
Xam Nua,20.42,104.04,66.31,92,100,1.61,LA,1598736795
Oranjemund,-28.55,16.43,51.39,75,0,4.79,NA,1598736795
La Ronge,55.1,-105.28,68.0,60,90,17.22,CA,1598736795
Santa Cruz de la Sierra,-17.8,-63.17,91.4,49,14,20.8,BO,1598736796
High Level,58.52,-117.14,48.2,87,90,5.82,CA,1598736796
Pandamatenga,-18.53,25.63,75.43,35,85,0.85,BW,1598736797
Jasper,37.2,-94.35,80.01,69,20,8.05,US,1598736797
Vardø,70.37,31.11,51.42,77,91,13.8,NO,1598736797
West Bay,19.37,-81.42,89.6,62,20,9.17,KY,1598736798
Tamworth,52.63,-1.7,51.8,87,40,11.41,GB,1598736798
Nouakchott,18.09,-15.98,84.2,70,75,16.11,MR,1598736744
Prince Albert,53.2,-105.77,82.4,28,75,17.22,CA,1598736798
Poya,-21.35,165.15,69.19,60,74,13.02,NC,1598736799
Guerrero Negro,27.98,-114.06,87.67,50,1,12.91,MX,1598736799
Baykit,61.67,96.37,48.15,87,53,1.43,RU,1598736799
Usinsk,65.99,57.53,43.54,83,9,9.73,RU,1598736800
Hammerfest,70.66,23.68,44.6,87,39,13.87,NO,1598736800
Châteauroux,46.82,1.7,55.4,93,67,4.7,FR,1598736800
Saint Lawrence,36.06,14.2,80.01,88,40,11.41,MT,1598736800
Westport,41.14,-73.36,80.6,74,90,8.05,US,1598736727
Egvekinot,66.32,-179.17,39.97,72,37,16.46,RU,1598736801
Trud,42.23,24.73,71.6,56,5,9.17,BG,1598736801
Wanaka,-44.7,169.15,50.52,69,55,8.81,NZ,1598736801
Caucaia,-3.74,-38.65,80.6,74,31,16.11,BR,1598736802
Enid,36.4,-97.88,79.0,88,90,12.75,US,1598736802
Goose Creek,32.98,-80.03,91.99,59,40,11.41,US,1598736802
Zyryanovsk,49.74,84.27,47.88,82,0,1.74,KZ,1598736803
Filingué,14.35,3.32,82.02,71,85,10.47,NE,1598736803
Bathsheba,13.22,-59.52,80.6,83,75,18.34,BB,1598736803
Rūdbār,30.15,62.6,70.34,26,0,8.57,AF,1598736803
Kokkola,63.84,23.13,55.99,100,41,2.24,FI,1598736804
Carnarvon,-24.87,113.63,55.4,62,0,10.29,AU,1598736719
Tessalit,20.2,1.01,81.93,62,47,12.44,ML,1598736804
San Borja,-14.82,-66.85,90.9,33,0,2.21,BO,1598736805
Pangnirtung,66.15,-65.71,56.14,39,39,2.42,CA,1598736805
Nizhnevartovsk,60.93,76.55,55.4,93,24,2.24,RU,1598736805
Mafra,-26.11,-49.81,71.01,52,0,11.01,BR,1598736805
Iquitos,-3.75,-73.25,91.4,55,54,5.82,PE,1598736646
Saint-Pierre,-21.34,55.48,68.0,77,27,6.93,RE,1598736806
El Dorado,33.21,-92.67,91.4,66,20,3.36,US,1598736798
Penha,-26.77,-48.65,66.99,93,40,9.17,BR,1598736806
Dembī Dolo,8.53,34.8,56.61,95,98,2.89,ET,1598736806
Aklavik,68.22,-135.01,53.6,71,20,6.93,CA,1598736807
Ellisras,-23.66,27.74,69.37,22,60,9.98,ZA,1598736808
Tancanhuitz,21.6,-98.97,87.48,67,99,4.85,MX,1598736808
Ontario,34.06,-117.65,96.8,23,1,11.41,US,1598736808
Bonavista,48.65,-53.11,63.0,69,43,11.01,CA,1598736808
Naranjal,-2.67,-79.62,86.0,58,40,6.93,EC,1598736809
Zaysan,47.47,84.87,57.07,48,0,6.24,KZ,1598736809
Yanam,16.73,82.22,78.04,90,8,3.49,IN,1598736809
Comodoro Rivadavia,-45.87,-67.5,51.8,34,0,19.46,AR,1598736792
Rognan,67.1,15.39,46.0,93,92,3.85,NO,1598736810
Torbay,47.67,-52.73,64.0,59,40,13.87,CA,1598736810
Mojo,8.6,39.12,60.8,82,75,4.7,ET,1598736810
Porbandar,21.64,69.61,78.89,91,100,10.78,IN,1598736811
Khakhea,-24.69,23.49,46.31,53,0,11.95,BW,1598736811
Brežice,45.9,15.59,81.0,57,5,3.36,SI,1598736811
Ancud,-41.87,-73.82,48.99,74,37,1.01,CL,1598736811
Neuquén,-38.95,-68.06,53.6,22,0,10.29,AR,1598736812
Vostok,46.49,135.88,49.66,99,100,4.65,RU,1598736812
Cherskiy,68.75,161.3,42.49,83,100,2.53,RU,1598736812
Mackay,-21.15,149.2,69.8,73,75,20.8,AU,1598736812
Kenai,60.55,-151.26,61.0,59,1,6.4,US,1598736813
Parchim,53.43,11.85,60.01,93,91,3.33,DE,1598736813
Ekhabi,53.51,142.97,54.37,72,0,7.74,RU,1598736813
Adrar,20.5,-10.07,98.37,9,71,17.58,MR,1598736814
Maceió,-9.67,-35.74,75.2,94,20,6.93,BR,1598736686
Beloha,-25.17,45.05,74.07,57,48,0.29,MG,1598736814
Anáhuac,27.23,-100.15,100.4,35,5,9.17,MX,1598736814
Wick,58.43,-3.08,46.4,87,100,5.82,GB,1598736815
Sola,-13.88,167.55,79.05,86,81,25.19,VU,1598736815
Bukachacha,52.98,116.92,50.47,89,100,2.84,RU,1598736815
Henties Bay,-22.12,14.28,54.0,75,0,16.31,NA,1598736815
Sabha,27.04,14.43,88.16,20,0,11.7,LY,1598736816
Marsh Harbour,26.54,-77.06,84.61,69,100,2.89,BS,1598736816
Manbij,36.53,37.95,78.8,36,0,6.87,SY,1598736816
Sosnovo-Ozerskoye,52.52,111.54,48.96,96,100,6.46,RU,1598736816
Ternate,0.8,127.4,80.1,78,100,6.93,ID,1598736817
Roald,62.58,6.13,48.99,93,90,6.93,NO,1598736817
Carbonia,39.17,8.52,81.0,88,5,6.93,IT,1598736817
Waingapu,-9.66,120.26,70.79,82,4,8.21,ID,1598736818
Sorong,-0.88,131.25,76.82,85,100,6.49,ID,1598736818
Ipixuna,-1.76,-48.8,86.0,70,40,6.93,BR,1598736818
Kansanshi,-12.1,26.43,66.99,41,6,1.28,ZM,1598736819
Ghanzi,-21.57,21.78,56.03,35,42,12.48,BW,1598736819
Dejen,10.17,38.13,50.58,100,7,1.52,ET,1598736820
Rocha,-34.48,-54.33,51.76,90,100,14.88,UY,1598736820
Faya,18.39,42.45,71.6,68,9,1.14,SA,1598736821
Körmend,47.01,16.61,71.6,73,20,3.36,HU,1598736821
